datetime_str,x,y,z,vx,vy,vz,r_au,speed_au_per_day
A.D. 2025-Sep-09 00:00:00.0000,-0.6920789448430181,-2.163955421026151,0.1824097068625198,-0.01360024901924318,0.03454348573555897,-0.001618935720430018,2.2792432145870616,0.03715965733177682
A.D. 2025-Sep-14 00:00:00.0000,-0.759841799008437,-1.990536837185774,0.1742551891822239,-0.01350013275584191,0.03482912626314186,-0.001643470531870897,2.1377467882494536,0.0373901406264855
A.D. 2025-Sep-19 00:00:00.0000,-0.8270256909729115,-1.815610309659202,0.1659685041606982,-0.01336719433792257,0.03514704291297743,-0.001671905383757851,2.001988470107494,0.03764029460042396
A.D. 2025-Sep-24 00:00:00.0000,-0.8934425600611428,-1.639009836139001,0.1575285832897026,-0.01319146582209456,0.03549883317361967,-0.001704871018900095,1.8733414279415979,0.03790895029429138
A.D. 2025-Sep-29 00:00:00.0000,-0.9588485968390305,-1.4605662403288,0.1489112183206654,-0.0129606135296634,0.03588394147014228,-0.001742977548852427,1.7535161604587874,0.03819257426822254
A.D. 2025-Oct-04 00:00:00.0000,-1.022932895287555,-1.280121824190934,0.1400894454048431,-0.01266025078658727,0.03629801027445988,-0.001786689449314894,1.644605924148743,0.038484019528271365
A.D. 2025-Oct-09 00:00:00.0000,-1.08531000640967,-1.09755454633597,0.1310347972969908,-0.01227529791151965,0.03673076713304861,-0.001836096667382275,1.5490945453065084,0.03877116768902859
A.D. 2025-Oct-14 00:00:00.0000,-1.145523227776033,-0.9128127851886125,0.1217198631824769,-0.01179299389741009,0.03716404750799672,-0.001890640457059149,1.4697844642230284,0.03903608143216808
A.D. 2025-Oct-19 00:00:00.0000,-1.203067756593051,-0.7259572858403245,0.1121222822656892,-0.01120781931342785,0.03757118713099654,-0.001948812934667791,1.409594769428063,0.03925566440717995
A.D. 2025-Oct-24 00:00:00.0000,-1.257441545384138,-0.5371986185917049,0.1022299477370054,-0.01052730001857038,0.03791973283404566,-0.002008028565955153,1.3712011369923802,0.039405105793641565
A.D. 2025-Oct-29 00:00:00.0000,-1.308221312231469,-0.3469102775171086,0.09204588342704366,-0.009775624642233733,0.03817844944698127,-0.002064909829163286,1.3565626366222419,0.039464169722979434
A.D. 2025-Nov-03 00:00:00.0000,-1.355143212418335,-0.1555993142622227,0.08159049244709488,-0.008991397001972231,0.03832665633862658,-0.002116035856356217,1.3664850095116732,0.03942404613800624
A.D. 2025-Nov-08 00:00:00.0000,-1.398154938419655,0.03616531329667218,0.0708994513023915,-0.008218754305618862,0.03836087229324085,-0.002158856980354004,1.4004184709964718,0.039290776384491126
A.D. 2025-Nov-13 00:00:00.0000,-1.437414839165144,0.2278412850183049,0.06001768492229851,-0.00749608807361754,0.03829456989131165,-0.002192269613144768,1.4565971280743284,0.039082879443878005
A.D. 2025-Nov-18 00:00:00.0000,-1.473241676187139,0.4189833244992142,0.04899197755812108,-0.006848429390943938,0.03815172362455873,-0.002216580029147555,1.532445195277195,0.03882484034317557
